,kappa,sigma,sigma^2,W1,W2
aavegotchi,0.004876806,0.038639214,0.0014929889,1.0000154,1.0010486
audius,0.015794188,0.077183045,0.0059572225,0.9999733,0.9873209
decentraland,5.808158e-05,0.1392853,0.019400394,0.9999996,1.0000036
dodo,0.021102699,0.10848276,0.01176851,0.99991965,1.0017319
enjincoin,0.019103613,0.07100102,0.0050411453,1.0000043,1.0327004
nftx,0.012279411,0.099659786,0.009932073,0.9953241,0.9978669
rarible,0.007367491,0.08545858,0.0073031685,0.99988055,0.9994958
superfarm,0.019255234,0.082151935,0.0067489403,1.0000184,1.0053113
superrare,0.0069142208,0.101348765,0.0102715725,0.9999549,1.0007112
the-sandbox,-0.0016531206,0.099012,0.009803376,1.0000002,0.9990303
ethereum,0.02923272,0.04268811,0.0018222746,0.99999815,1.5812595
axie-infinity,0.0076396842,0.073846094,0.0054532457,1.0000002,1.0018086
maker,0.0019715843,0.04740419,0.002247157,0.99999875,0.99686944
1inch,0.024352172,0.096929274,0.009395285,1.0000198,0.9938919
sushi,-0.0028855114,0.06938905,0.004814841,1.000002,1.0065091
aave,-0.0012991851,0.056772545,0.0032231219,1.0,1.0095068
solana,0.009542162,0.05992587,0.0035911098,0.9999971,0.83887047
matic-network,0.016674072,0.06630038,0.00439574,1.0000011,0.9183942
yield-guild-games,0.0052253893,0.083796754,0.007021896,0.99998635,0.9946878
