,kappa,sigma,sigma^2,W1,W2
aavegotchi,0.004965334,0.038710836,0.0014985289,1.0000122,1.0010828
audius,0.012447962,0.0769512,0.0059214868,0.99997663,0.989635
decentraland,0.00079927297,0.13944596,0.019445175,1.0,1.0001012
dodo,0.019230874,0.108598135,0.011793555,0.9999252,1.0013418
enjincoin,0.017126177,0.0705151,0.0049723797,0.99999905,1.0321349
nftx,0.010881523,0.106893495,0.011426219,0.9998253,0.9983931
rarible,0.0053037433,0.0853731,0.007288567,0.9999132,0.9996246
superfarm,0.018240888,0.0819641,0.0067181136,1.0000092,1.0054137
superrare,0.0055342508,0.10139782,0.010281518,0.99996334,1.0004982
the-sandbox,-0.0010221652,0.098804265,0.0097622825,0.99999994,0.99925274
ethereum,0.022593737,0.042114597,0.0017736392,0.9999999,1.4060007
axie-infinity,0.0072960025,0.073469065,0.0053977035,0.9999998,1.0065193
maker,0.00055787945,0.04717138,0.0022251392,0.99999964,0.9990223
1inch,0.024200967,0.09702652,0.009414146,1.0000169,0.9947535
sushi,-0.004233021,0.06914635,0.004781218,1.0000037,1.0101728
aave,-0.0027075093,0.056400113,0.0031809728,1.0000011,1.0205303
solana,0.008189887,0.058854233,0.0034638208,0.99999994,0.87685907
matic-network,0.01688472,0.0659797,0.00435332,1.0000011,0.9363458
yield-guild-games,0.003924216,0.083655454,0.006998235,0.9999897,0.9958039
