,timestamp,aavegotchi,audius,decentraland,dodo,enjincoin,nftx,rarible,superfarm,superrare,the-sandbox,ethereum,axie-infinity,maker,1inch,sushi,aave,solana,matic-network,yield-guild-games
0,1630540800000,43016677.60499689,51248773.971186064,164700096.72329777,73701836.18299127,202270139.98471436,8368037.736416389,11627493.002630742,24067475.623169657,18250240.20636188,944345803.70202,34465100677.998825,461373005.5226486,118931823.29481146,128118318.21812421,639705124.9985493,645475333.9757116,3649705606.8515778,1560696928.9178395,53171981.55642812
1,1630627200000,31892724.89344722,78481018.88036379,126200019.14058308,75980173.8921912,182532752.3878975,2367363.844157934,9701711.807577202,24915482.022338856,11689548.607311472,438995809.23854405,28115776510.367878,369604907.0663234,85411298.3752427,106653282.59015132,339819157.7319746,298404458.7955352,4623249675.435575,1183968629.1604707,30701475.29584694
2,1630713600000,30626301.872351184,143455264.6299958,276450134.3764647,130717341.91249593,174363969.25662097,2763973.049032239,12716473.505266212,26792892.47172654,20818317.00251835,347066483.8535711,30463347266.426533,741383625.2957177,128097882.30533265,158642448.06928194,317421700.1125981,322903213.60548896,6871215127.90067,900520202.8397559,39153542.658126555
3,1630800000000,43307405.71506742,53122962.21998698,217155831.55200905,92613225.71704479,180022101.496279,2749174.766801944,24920425.552688926,25425637.444948766,6841087.853874439,601004496.1857154,24002848309.4245,2916046416.1458025,92325752.38487993,133803139.0126547,245514928.164536,255751451.2897183,3607645007.288397,2179616389.0456314,47148397.32501618
4,1630886400000,29647028.216893155,44460376.14116413,149545155.18634695,78489165.23207325,192531511.4052004,1430653.275612715,13808305.765006132,32119240.669697497,6946210.381375344,301301876.1608021,19760598542.300426,965482410.8556558,97448398.69417538,151008728.6973327,477099995.99708736,441743533.1926143,2711248607.007888,2161766058.2233663,22420570.31548574
5,1630972800000,35014522.49570051,77870774.75492729,176352241.5981372,100527511.31604797,237598869.00076786,2281965.3283516155,16554902.023438733,160186886.19150466,8665313.910167422,261541453.62419885,20190616165.855145,974516886.763914,115374477.39558259,129832540.74256681,316136016.56314176,389900233.2616019,5245858966.571948,1530368131.1756022,48957065.60592386
6,1631059200000,41623252.01435387,118289375.32168214,271211524.2084786,131745592.55720207,347642931.1366359,3244632.1945769936,18729923.19114213,100360604.25498423,7453539.540266942,369597717.0742091,42541561062.44531,1257484589.3762758,198475006.14323366,220036217.34039643,740803373.7167232,748477132.1851106,16149087501.300968,2839649877.0862355,78692948.94230299
7,1631145600000,36248175.65095957,60771905.45744904,224204364.67313007,102261867.48174351,265364287.67287225,2585551.9142185953,18819210.560820628,34424596.36890851,8219605.7415564265,306264186.9070588,34175479497.51584,1492837957.4227214,123774504.62076923,149480148.40965056,438741063.61602235,481574069.0575264,12034756697.736256,2076261412.7030559,52940029.43423243
8,1631232000000,35731267.30203555,72152542.31983492,103575828.76816793,83355013.65612966,156280308.56872788,2466493.0282761664,16166931.287764179,29020810.809290603,8492898.367550882,196885172.54370287,25796050344.025276,783147656.0247248,119757975.95442127,102157756.28814462,388781065.21865594,336790772.00000226,12182432665.179003,1635510580.6177518,40674469.25511186
9,1631318400000,33159357.593755975,48203561.38722296,84499303.89133696,62400067.23290717,127216850.41668144,1362732.4731687286,11429031.087879201,25080639.63378625,5892253.768970756,136585296.2719709,24111446202.204918,508999489.70645446,109467021.43862517,78901390.92395264,288215607.01781356,323581886.60541064,6992113162.711526,1394843799.5904737,30387008.80438508
