,0
2022-03-01,1.0
2022-03-02,1.0148629
2022-03-03,1.0008227
2022-03-04,0.9424487
2022-03-05,0.86791074
2022-03-06,0.8912268
2022-03-07,0.85815525
2022-03-08,0.83163446
2022-03-09,0.844
2022-03-10,0.8806974
2022-03-11,0.8386453
2022-03-12,0.82582456
2022-03-13,0.823566
2022-03-14,0.79501104
2022-03-15,0.8191512
2022-03-16,0.81677973
2022-03-17,0.8711051
2022-03-18,0.8644293
2022-03-19,0.8843768
2022-03-20,0.92218745
2022-03-21,0.92119235
2022-03-22,0.9046692
2022-03-23,0.9312308
2022-03-24,0.9550986
2022-03-25,0.9899859
2022-03-26,0.97112274
2022-03-27,1.0126936
2022-03-28,1.0493673
2022-03-29,1.0635484
