,0
2022-03-01,1.0
2022-03-02,1.0
2022-03-03,0.9859601
2022-03-04,0.9284421
2022-03-05,0.8550123
2022-03-06,0.87798285
2022-03-07,0.8454037
2022-03-08,0.81927794
2022-03-09,0.8314606
2022-03-10,0.86761355
2022-03-11,0.826187
2022-03-12,0.8135577
2022-03-13,0.8113336
2022-03-14,0.78320366
2022-03-15,0.8069861
2022-03-16,0.8046506
2022-03-17,0.85817
2022-03-18,0.85159415
2022-03-19,0.87124634
2022-03-20,0.9084963
2022-03-21,0.90751684
2022-03-22,0.8912399
2022-03-23,0.917408
2022-03-24,0.9409224
2022-03-25,0.9752926
2022-03-26,0.9567104
2022-03-27,0.9976653
2022-03-28,1.0337956
2022-03-29,1.0477673
